;d;renewable
h821;54654;0.087187463
h822;57609;0.090606292
h823;65457;0.086424463
h824;72580;0.097414603
h825;74328;0.115110342
h826;74262;0.14284247
h827;74876;0.161917479
h828;75677;0.178820871
h829;74735;0.18024416
h830;74097;0.166172673
h831;73001;0.141932739
h832;71838;0.10087745
h833;70870;0.065104472
h834;73861;0.060878624
h835;76551;0.078134171
h836;74937;0.090987792
h837;70552;0.098896584
h838;67176;0.106101068
h839;64160;0.092983331
h840;59590;0.087143444
h841;56167;0.088799237
h842;53951;0.096295753
h843;53079;0.102897381
h844;53353;0.11260911
h845;54695;0.128937138
h846;57919;0.138736888
h847;65883;0.148683342
h848;72756;0.149842294
h849;74413;0.155886452
h850;74333;0.181119343
h851;75201;0.208332722
h852;75942;0.223575149
h853;75055;0.234841928
h854;74629;0.228563046
h855;73476;0.193266339
h856;72758;0.155915793
h857;71967;0.130272134
h858;74785;0.138399472
h859;76817;0.14808186
h860;75033;0.157661557
h861;70611;0.166962517
h862;67016;0.179226876
h863;64432;0.167798724
h864;59369;0.178977481
h865;55768;0.188223216
h866;53537;0.192153699
h867;52446;0.200923957
h868;52709;0.205045098
h869;53910;0.201305272
h870;57289;0.201730586
h871;65452;0.209752878
h872;72097;0.211190144
h873;73477;0.206233042
h874;73058;0.240830095
h875;73611;0.296531495
h876;74507;0.348903718
h877;73628;0.374877172
h878;72937;0.360225856
h879;71673;0.289477158
h880;70737;0.19700814
h881;70201;0.12385422
h882;73508;0.112488084
h883;76031;0.140998753
h884;74540;0.16871746
h885;70107;0.177267728
h886;66504;0.187607245
h887;63283;0.192227029
h888;58223;0.187548581
h889;54514;0.196275114
h890;52086;0.212039889
h891;51014;0.220266901
h892;51430;0.234154568
h893;53204;0.235606394
h894;56643;0.247352984
h895;64422;0.263968324
h896;71245;0.272708608
h897;73276;0.282768734
h898;73203;0.300469277
h899;74105;0.349494061
h900;75012;0.401363836
h901;74137;0.42355184
h902;72798;0.424197096
h903;71448;0.420032263
h904;70780;0.400601261
h905;70546;0.383589969
h906;72504;0.357838393
h907;73930;0.346297111
h908;71642;0.339433935
h909;67537;0.3197243
h910;63970;0.288678692
h911;61437;0.259935474
h912;57142;0.232849391
h913;53419;0.19919343
h914;51373;0.184088576
h915;50340;0.178647896
h916;50350;0.178647896
h917;50612;0.178955859
h918;50539;0.178471917
h919;51168;0.204824754
h920;54483;0.221733392
h921;58258;0.262633817
h922;61382;0.318257809
h923;63185;0.348012905
h924;64115;0.374204429
h925;63210;0.385305763
h926;61347;0.354069512
h927;59538;0.308461651
h928;59112;0.264085643
h929;59249;0.239756563
h930;62891;0.23066432
h931;64914;0.237791465
h932;62551;0.242616219
