left,top,right,bottom,id,X,Y,CTR_N,CTR,CST_N,GRED_CST
13.5948387390,51.7847458940,14.0948387390,52.2847458940,280,13.5948387390,51.7847458940,Germany,276.00,Brandenburg,27600904.00
13.5948387390,51.2847458940,14.0948387390,51.7847458940,281,13.5948387390,51.2847458940,Germany,276.00,Sachsen,27600913.00
13.5948387390,50.7847458940,14.0948387390,51.2847458940,282,13.5948387390,50.7847458940,Germany,276.00,Sachsen,27600913.00
13.5948387390,48.7847458940,14.0948387390,49.2847458940,286,13.5948387390,48.7847458940,Germany,276.00,Bayern,27600902.00
14.0948387390,53.2847458940,14.5948387390,53.7847458940,294,14.0948387390,53.2847458940,Germany,276.00,Brandenburg,27600904.00
14.0948387390,52.7847458940,14.5948387390,53.2847458940,295,14.0948387390,52.7847458940,Germany,276.00,Brandenburg,27600904.00
14.0948387390,52.2847458940,14.5948387390,52.7847458940,296,14.0948387390,52.2847458940,Germany,276.00,Brandenburg,27600904.00
14.0948387390,51.7847458940,14.5948387390,52.2847458940,297,14.0948387390,51.7847458940,Germany,276.00,Brandenburg,27600904.00
14.0948387390,51.2847458940,14.5948387390,51.7847458940,298,14.0948387390,51.2847458940,Germany,276.00,Sachsen,27600913.00
14.5948387390,51.7847458940,15.0948387390,52.2847458940,314,14.5948387390,51.7847458940,Germany,276.00,Brandenburg,27600904.00
14.5948387390,51.2847458940,15.0948387390,51.7847458940,315,14.5948387390,51.2847458940,Germany,276.00,Sachsen,27600913.00
